652914608,0.24,0.09,0.94
652919536,0.23,0.09,0.96
652924472,0.24,0.07,0.95
652929400,0.23,0.06,0.95
652934344,0.22,0.07,0.95
652939288,0.23,0.07,0.97
652944216,0.24,0.07,0.96
652949144,0.23,0.08,0.98
652954072,0.24,0.08,0.96
652959008,0.22,0.08,0.97
652963944,0.21,0.06,0.96
652968872,0.19,0.07,0.97
652973800,0.20,0.07,0.95
652978736,0.19,0.06,0.98
652983672,0.19,0.06,0.97
652988640,0.19,0.05,0.97
652993560,0.18,0.05,0.99
652998480,0.16,0.06,1.01
653003424,0.20,0.04,1.02
653008352,0.20,0.05,1.03
653013296,0.19,0.02,1.05
653018248,0.22,0.01,1.07
653023200,0.20,-0.01,1.10
653028168,0.23,0.00,1.09
653033104,0.23,-0.02,1.12
653038104,0.21,-0.02,1.13
653043104,0.18,-0.04,1.12
653048112,0.16,-0.02,1.12
653053104,0.15,-0.07,1.13
653058104,0.18,-0.01,1.11
653063096,0.14,-0.01,1.12
653068104,0.12,-0.01,1.11
653073104,0.12,0.01,1.09
653078048,0.12,0.01,1.09
653083008,0.13,0.03,1.08
653087952,0.14,0.03,1.08
653092896,0.13,0.04,1.08
653097848,0.13,0.06,1.07
653102784,0.15,0.06,1.05
653107752,0.13,0.09,1.05
653112704,0.12,0.09,1.04
653117664,0.11,0.10,1.05
653122608,0.10,0.12,1.04
653127560,0.09,0.10,1.03
653132480,0.11,0.10,1.03
653137408,0.12,0.10,1.04
653142352,0.12,0.11,1.02
653147320,0.12,0.07,1.02
653152272,0.20,0.06,1.02
653157184,0.17,0.05,1.01
653162128,0.17,0.01,1.00
653167048,0.19,-0.01,1.00
653172040,0.17,0.01,0.99
653176960,0.19,0.02,0.99
653181912,0.18,0.06,0.98
653186840,0.17,0.11,1.00
653191792,0.17,0.10,0.98
653196720,0.15,0.11,0.98
653201688,0.16,0.14,1.00
653206632,0.09,0.14,0.97
653211584,0.08,0.13,0.98
653216504,0.08,0.10,0.97
653221424,0.07,0.16,0.98
653226376,0.05,0.14,0.96
653231344,0.03,0.16,0.95
653236304,0.00,0.13,0.95
653241168,0.01,0.14,0.95
653246104,0.01,0.12,0.94
653251056,-0.01,0.15,0.94
653256056,0.01,0.09,0.93
653261024,0.06,0.11,0.94
653265968,0.09,0.09,0.94
653270888,0.10,0.08,0.91
653275808,0.13,0.12,0.93
653280760,0.11,0.09,0.94
653285688,0.13,0.09,0.93
653290632,0.15,0.12,0.96
653295592,0.23,-0.01,0.92
653300576,0.15,0.11,0.92
653305520,0.16,0.13,0.93
653310464,0.15,0.11,0.91
653315408,0.15,0.10,0.92
653320384,0.15,0.14,0.91
653325360,0.17,0.13,0.91
653330312,0.19,0.05,0.92
653335264,0.17,0.14,0.92
653340208,0.19,0.12,0.90
653345144,0.18,0.16,0.92
653350096,0.23,0.14,0.93
653355056,0.25,0.14,0.94
653360032,0.27,0.12,0.95
653364984,0.33,0.05,0.96
653369936,0.28,0.09,0.97
653374864,0.26,0.08,0.98
653379800,0.28,0.10,0.98
653384728,0.26,0.07,0.98
653389672,0.23,0.08,0.97
653394624,0.19,0.06,0.98
653399576,0.18,0.08,0.98
653404496,0.16,0.07,0.98
653409432,0.16,0.08,1.00
653414352,0.12,0.08,0.97
653419312,0.13,0.08,0.99
653424232,0.11,0.08,0.97
653429168,0.07,0.11,0.96
653434104,0.07,0.10,0.95
653439040,0.07,0.12,0.94
653443992,0.05,0.12,0.91
653448920,0.03,0.14,0.90
653453880,0.05,0.13,0.90
653458816,0.18,0.01,0.91
653463768,0.08,0.14,0.94
653468704,0.03,0.15,0.91
653473664,0.06,0.16,0.91
653478608,0.07,0.14,0.92
653483536,0.08,0.13,0.92
653488464,0.07,0.14,0.92
653493408,0.11,0.12,0.92
653498384,0.09,0.13,0.90
653503320,0.10,0.15,0.89
653508272,0.11,0.13,0.91
653513232,0.10,0.20,0.90
653518152,0.08,0.21,0.90
653523072,0.05,0.16,0.87
653528032,0.09,0.16,0.90
653532952,0.10,0.15,0.89
653537904,0.04,0.24,0.87
653542848,0.03,0.17,0.86
653547792,-0.00,0.17,0.87
653552768,0.05,0.17,0.86
653557712,0.02,0.19,0.89
653562664,-0.02,0.23,0.88
653567640,-0.03,0.19,0.89
653572640,0.03,0.18,0.89
653577576,-0.02,0.12,0.88
653582576,0.08,0.19,0.91
653587496,0.07,0.06,0.90
653592408,0.06,0.22,0.96
653597360,0.13,0.14,0.97
653602320,0.20,0.14,0.96
653607280,0.16,0.12,0.98
653612216,0.29,0.05,0.95
653617128,0.22,0.12,0.96
653622072,0.23,0.08,0.98
653627016,0.27,0.03,0.95
653631952,0.26,0.10,0.98
653636888,0.22,0.10,1.01
653641824,0.24,0.06,0.98
653646736,0.23,0.06,1.02
