28,0.10,0.92
357817184,0.17,-0.56,0.89
357822176,0.04,-0.46,1.15
357827176,0.88,-0.53,1.96
357832168,0.52,-0.27,1.58
357837160,-0.00,-0.40,1.38
357842160,0.13,-0.30,1.24
357847160,0.47,-0.22,1.26
357852144,0.42,-0.26,1.29
357857144,0.39,-0.30,1.28
357862120,0.33,-0.30,1.16
357867112,0.25,-0.31,1.08
357872112,0.22,-0.38,1.20
357877096,0.04,-0.34,0.87
357882080,0.06,-0.37,0.90
357827176,357882080,2.21,0.88,-0.53,1.96,tap-1
357943888,-0.11,-0.49,1.03
357948936,-0.11,-0.42,1.00
357953968,-0.10,-0.39,0.96
357959000,-0.10,-0.34,0.95
357964040,-0.03,-0.34,0.94
357969056,-0.03,-0.28,0.95
357974080,-0.02,-0.28,0.90
357979088,0.00,-0.27,0.89
357983984,0.02,-0.27,0.85
357988992,0.04,-0.25,0.85
357993984,0.03,-0.26,0.84
357998968,0.05,-0.24,0.82
358003944,0.05,-0.23,0.82
358008920,0.07,-0.23,0.82
358013904,0.05,-0.22,0.79
358018904,0.04,-0.21,0.79
358023864,0.04,-0.19,0.79
358028824,0.06,-0.19,0.79
358033800,0.07,-0.17,0.78
358038760,-0.18,0.08,0.77
358043720,0.11,-0.15,0.73
358048696,0.11,-0.06,0.77
358053672,0.04,-0.03,0.76
358058648,0.05,-0.02,0.73
358063608,0.08,0.00,0.73
358068536,0.07,0.05,0.75
358073464,0.09,0.05,0.78
358078384,0.10,0.08,0.76
358083296,0.14,0.05,0.75
358088224,0.14,0.09,0.75
358093176,0.10,0.11,0.76
358098104,0.16,0.11,0.77
358103040,0.15,0.14,0.77
358107992,0.21,0.15,0.78
358112952,0.21,0.17,0.78
358117928,0.25,0.17,0.79
358122896,0.29,0.17,0.78
358127880,0.28,0.19,0.78
358132816,0.31,0.19,0.78
358137760,0.35,0.22,0.78
358142712,0.35,0.19,0.80
358147648,0.38,0.21,0.81
358152616,0.39,0.20,0.81
358157544,0.39,0.21,0.81
358162488,0.43,0.21,0.82
358167424,0.43,0.19,0.85
358172376,0.44,0.18,0.84
358177328,0.44,0.19,0.87
