,0.08,0.02,0.97
211532144,0.15,0.22,0.96
211537104,0.14,0.21,0.96
211542072,0.13,0.21,0.95
211547016,0.10,0.21,0.95
211551944,0.11,0.21,0.94
211556904,0.11,0.20,0.94
211561832,0.10,0.19,0.92
211566792,0.16,0.16,0.94
211571760,0.14,0.14,0.95
211576720,0.08,0.23,0.94
211581656,0.09,0.19,0.94
211586584,0.15,0.19,0.95
211591528,0.16,0.19,0.95
211596480,0.18,0.19,0.96
211601440,0.18,0.18,0.97
211606376,0.17,0.17,0.96
211611312,0.25,0.16,0.95
211616280,0.18,0.18,0.98
211621216,0.17,0.15,0.97
211626160,0.23,0.14,0.98
211631120,0.24,0.16,0.99
211636088,0.19,0.16,0.98
211641040,0.18,0.20,1.00
211645960,0.19,0.17,1.01
211650904,0.16,0.16,0.99
211655840,0.18,0.13,0.98
211660784,0.12,0.20,0.98
211665760,0.16,0.17,0.97
211670696,0.16,0.18,0.98
211675632,0.15,0.19,0.99
211680576,0.13,0.19,0.97
211685528,0.12,0.19,0.96
211690480,0.14,0.19,0.97
211695440,0.13,0.18,0.97
211700384,0.13,0.18,0.98
211705328,0.10,0.19,0.96
211710264,0.11,0.18,0.97
211715200,0.13,0.16,0.98
211720152,0.12,0.17,0.98
211725104,0.15,0.16,0.98
211730072,0.14,0.14,0.99
211735008,0.16,0.15,0.98
211739952,0.16,0.15,0.99
211744896,0.16,0.15,0.98
211749840,0.17,0.14,0.97
211754808,0.18,0.14,0.97
211759768,0.15,0.16,0.98
211764728,0.14,0.18,0.97
211769664,0.13,0.14,0.97
211774608,0.15,0.15,0.97
211779552,0.16,0.16,0.98
211784504,0.16,0.16,0.98
211789456,0.17,0.15,0.98
211794400,0.16,0.13,0.99
211799360,0.16,0.13,0.98
211804312,0.15,0.12,0.99
211809256,0.15,0.11,0.98
211814200,0.15,0.13,0.98
211819144,0.13,0.12,0.98
211824104,0.15,0.12,0.99
211829064,0.14,0.12,0.99
211834000,0.14,0.12,0.97
211838944,0.12,0.11,0.98
211843896,0.13,0.12,0.99
211848832,0.13,0.11,0.98
211853792,0.15,0.12,0.98
211858760,0.13,0.12,0.99
211863712,0.14,0.06,1.00
211868632,0.09,0.13,1.00
211873544,0.09,0.10,1.00
211878472,0.12,0.11,1.03
211883424,0.10,0.10,1.01
211888368,0.07,0.12,1.02
211893304,0.10,0.19,1.05
211898232,0.03,0.13,1.00
211903160,0.06,0.09,1.01
211908088,0.10,0.10,1.02
211913032,0.08,0.10,1.04
211917944,0.08,0.11,1.06
211922872,0.04,0.12,1.06
211927808,0.08,0.10,1.05
211932752,0.06,0.10,1.05
211937672,0.07,0.07,1.06
211942600,0.03,0.07,1.04
211947536,0.04,0.08,1.03
211952448,0.03,0.08,1.01
211957368,0.18,0.05,1.04
211962296,0.03,0.12,1.02
211967240,0.03,0.07,1.01
211972176,0.02,0.07,1.00
211977080,0.06,0.07,0.99
211982008,0.09,0.05,0.98
211986936,-0.03,0.14,0.99
211991912,0.01,0.09,0.97
211996840,0.05,0.11,0.97
212001784,0.04,0.09,0.97
212006712,0.01,0.10,0.96
212011624,0.02,0.09,0.96
212016552,0.00,0.11,0.96
212021432,0.02,0.10,0.94
212026352,-0.01,0.08,0.93
212031304,0.08,0.07,0.93
212036216,-0.01,0.10,0.95
212041176,0.01,0.10,0.95
212046104,0.00,0.11,0.96
212051048,0.00,0.10,0.95
212055880,0.00,0.10,0.98
212060792,0.00,0.08,0.97
212065632,-0.01,0.07,0.95
212070616,-0.02,0.09,0.98
212075568,-0.01,0.08,0.97
212080520,-0.02,0.09,0.96
212085496,-0.02,0.08,0.97
212090480,-0.02,0.10,0.95
212095456,-0.03,0.08,0.96
212100392,-0.00,0.08,0.96
212105360,-0.00,0.08,0.95
212110296,0.02,0.09,0.96
212115224,0.03,0.08,0.94
212120152,0.03,0.08,0.94
212125080,0.02,0.08,0.95
212130024,0.02,0.08,0.94
212134960,0.00,0.08,0.94
212139872,-0.01,0.07,0.95
212144848,0.01,0.08,0.96
212149792,0.02,0.08,0.94
212154712,0.02,0.08,0.95
212159648,0.02,0.08,0.95
212164576,0.01,0.06,0.95
212169504,0.03,0.10,0.96
212174464,0.02,0.08,0.97
212179384,0.01,0.08,0.98
212184328,0.02,0.08,1.00
212189216,0.03,0.07,1.00
212194152,0.05,0.05,1.01
212199072,0.03,0.06,1.00
212204024,0.04,0.05,1.01
212208928,0.03,0.05,0.98
212213832,0.03,0.05,1.00
212218768,0.04,0.04,1.00
212223696,0.03,0.05,0.98
212228624,0.03,0.05,0.98
212233528,0.04,0.03,1.00
212238432,0.05,0.05,0.99
212243344,0.03,0.08,0.99
212248240,0.04,0.07,0.98
212253168,0.05,0.07,0.98
212258104,0.05,0.07,0.99
212263024,0.08,0.08,0.98
212267936,0.07,0.07,1.01
212272872,0.07,0.09,1.01
212277800,0.09,0.06,1.01
212282728,0.09,0.08,1.01
212287648,0.09,0.07,1.00
212292536,0.09,0.06,1.01
212297456,0.08,0.10,1.00
212302384,0.10,0.08,1.00
212307296,0.10,0.06,1.01
212312224,0.08,0.04,0.99
212317144,0.07,0.06,1.01
212322080,0.07,0.05,1.00
212327000,0.07,0.05,1.01
212331904,0.08,0.07,0.97
