0.34,0.21,0.91
0.31,0.24,0.94
0.34,0.21,0.93
0.35,0.20,0.93
0.34,0.21,0.92
0.33,0.19,0.92
0.32,0.19,0.94
0.30,0.19,0.95
0.29,0.19,0.95
0.27,0.19,0.95
0.26,0.17,0.94
0.25,0.19,0.95
0.24,0.18,0.96
0.21,0.17,0.96
0.20,0.16,0.96
0.20,0.15,0.97
0.20,0.16,0.97
0.21,0.15,0.99
0.20,0.15,0.99
0.23,0.14,0.99
0.24,0.14,1.01
0.25,0.14,1.01
0.23,0.14,1.01
0.23,0.15,1.02
0.22,0.14,1.01
0.24,0.14,1.00
0.24,0.15,0.98
0.26,0.13,1.00
0.25,0.14,0.98
0.25,0.13,1.00
0.24,0.12,0.99
0.24,0.13,1.00
0.24,0.13,1.00
0.23,0.12,1.02
0.26,0.14,1.01
0.25,0.13,1.01
0.26,0.13,1.02
0.26,0.13,1.00
0.26,0.15,1.01
0.26,0.14,1.00
0.26,0.14,1.00
0.26,0.14,1.01
0.26,0.14,1.01
0.24,0.14,1.00
0.25,0.14,1.01
0.25,0.15,0.99
0.25,0.14,0.99
0.24,0.15,1.00
0.26,0.13,0.98
0.25,0.17,0.99
0.26,0.16,0.97
0.26,0.17,0.97
0.27,0.18,0.94
0.28,0.18,0.94
0.30,0.17,0.94
0.31,0.19,0.93
0.27,0.19,0.93
0.27,0.19,0.93
0.27,0.18,0.92
0.26,0.17,0.95
0.27,0.18,0.94
0.24,0.19,0.95
0.25,0.18,0.95
0.25,0.17,0.95
0.25,0.19,0.94
0.25,0.18,0.95
0.25,0.18,0.97
0.25,0.18,0.97
0.24,0.18,0.97
0.25,0.17,0.98
